Epoch 1 starting...
  Batch 50, Avg Loss=4.1067
  Batch 100, Avg Loss=4.0837
  Batch 150, Avg Loss=4.0103
  Batch 200, Avg Loss=3.9608
  Batch 250, Avg Loss=3.9092
  Batch 300, Avg Loss=3.7597
  Batch 350, Avg Loss=3.6626
  Batch 400, Avg Loss=3.5773
  Batch 450, Avg Loss=3.5228
  Batch 500, Avg Loss=3.4961
  Batch 550, Avg Loss=3.4115
  Batch 600, Avg Loss=3.3849
  Batch 650, Avg Loss=3.3778
  Batch 700, Avg Loss=3.3451
  Batch 750, Avg Loss=3.3610
  Batch 800, Avg Loss=3.3501
  Batch 850, Avg Loss=3.3046
  Batch 900, Avg Loss=3.3191
  Batch 950, Avg Loss=3.2854
  Batch 1000, Avg Loss=3.2591
  Batch 1050, Avg Loss=3.2538
  Batch 1100, Avg Loss=3.2031
  Batch 1150, Avg Loss=3.2178
  Batch 1200, Avg Loss=3.2600
  Batch 1250, Avg Loss=3.2452
  Batch 1300, Avg Loss=3.2262
  Batch 1350, Avg Loss=3.2290
  Batch 1400, Avg Loss=3.2174
  Batch 1450, Avg Loss=3.2206
  Batch 1500, Avg Loss=3.1808
  Batch 1550, Avg Loss=3.1678
Epoch 2 starting...
  Batch 50, Avg Loss=3.1883
  Batch 100, Avg Loss=3.1920
  Batch 150, Avg Loss=3.1651
  Batch 200, Avg Loss=3.1830
  Batch 250, Avg Loss=3.1732
  Batch 300, Avg Loss=3.1714
  Batch 350, Avg Loss=3.1564
  Batch 400, Avg Loss=3.1736
  Batch 450, Avg Loss=3.1604
  Batch 500, Avg Loss=3.1363
  Batch 550, Avg Loss=3.1387
  Batch 600, Avg Loss=3.1329
  Batch 650, Avg Loss=3.1415
  Batch 700, Avg Loss=3.1160
  Batch 750, Avg Loss=3.1336
  Batch 800, Avg Loss=3.1462
  Batch 850, Avg Loss=3.1066
  Batch 900, Avg Loss=3.0806
  Batch 950, Avg Loss=3.1112
  Batch 1000, Avg Loss=3.0821
  Batch 1050, Avg Loss=3.0685
  Batch 1100, Avg Loss=3.1181
  Batch 1150, Avg Loss=3.0676
  Batch 1200, Avg Loss=3.0769
  Batch 1250, Avg Loss=3.0943
  Batch 1300, Avg Loss=3.0793
  Batch 1350, Avg Loss=3.0729
  Batch 1400, Avg Loss=3.0707
  Batch 1450, Avg Loss=3.0705
  Batch 1500, Avg Loss=3.0795
  Batch 1550, Avg Loss=3.0867
Epoch 3 starting...
  Batch 50, Avg Loss=3.0713
  Batch 100, Avg Loss=3.0812
  Batch 150, Avg Loss=3.0324
  Batch 200, Avg Loss=3.0647
  Batch 250, Avg Loss=3.0676
  Batch 300, Avg Loss=3.0600
  Batch 350, Avg Loss=3.0378
  Batch 400, Avg Loss=3.0411
  Batch 450, Avg Loss=3.0396
  Batch 500, Avg Loss=3.0315
  Batch 550, Avg Loss=3.0503
  Batch 600, Avg Loss=3.0516
  Batch 650, Avg Loss=3.0602
  Batch 700, Avg Loss=3.0346
  Batch 750, Avg Loss=3.0494
  Batch 800, Avg Loss=3.0366
  Batch 850, Avg Loss=3.0367
  Batch 900, Avg Loss=3.0351
  Batch 950, Avg Loss=3.0459
  Batch 1000, Avg Loss=3.0230
  Batch 1050, Avg Loss=3.0179
  Batch 1100, Avg Loss=3.0288
  Batch 1150, Avg Loss=3.0219
  Batch 1200, Avg Loss=3.0284
  Batch 1250, Avg Loss=3.0498
  Batch 1300, Avg Loss=3.0095
