Epoch [1/50] | Train Loss: 1.9119 | Train Acc: 29.35% | Test Acc: 35.62%
Epoch [2/50] | Train Loss: 1.6506 | Train Acc: 39.62% | Test Acc: 42.66%
Epoch [3/50] | Train Loss: 1.5188 | Train Acc: 44.76% | Test Acc: 46.61%
Epoch [4/50] | Train Loss: 1.4042 | Train Acc: 49.15% | Test Acc: 49.74%
Epoch [5/50] | Train Loss: 1.3035 | Train Acc: 52.92% | Test Acc: 52.86%
Epoch [6/50] | Train Loss: 1.2160 | Train Acc: 55.94% | Test Acc: 53.43%
Epoch [7/50] | Train Loss: 1.1451 | Train Acc: 58.85% | Test Acc: 55.50%
Epoch [8/50] | Train Loss: 1.0806 | Train Acc: 61.23% | Test Acc: 57.25%
Epoch [9/50] | Train Loss: 1.0172 | Train Acc: 63.87% | Test Acc: 58.49%
Epoch [10/50] | Train Loss: 0.9721 | Train Acc: 65.24% | Test Acc: 58.72%
Epoch [11/50] | Train Loss: 0.9163 | Train Acc: 67.38% | Test Acc: 59.41%
Epoch [12/50] | Train Loss: 0.8597 | Train Acc: 69.54% | Test Acc: 58.48%
Epoch [13/50] | Train Loss: 0.8104 | Train Acc: 71.16% | Test Acc: 60.43%
Epoch [14/50] | Train Loss: 0.7525 | Train Acc: 73.30% | Test Acc: 59.63%
Epoch [15/50] | Train Loss: 0.7008 | Train Acc: 75.05% | Test Acc: 60.22%
Epoch [16/50] | Train Loss: 0.6380 | Train Acc: 77.42% | Test Acc: 59.62%
Epoch [17/50] | Train Loss: 0.5860 | Train Acc: 79.28% | Test Acc: 59.77%
Epoch [18/50] | Train Loss: 0.5357 | Train Acc: 81.08% | Test Acc: 59.25%
Epoch [19/50] | Train Loss: 0.4824 | Train Acc: 82.88% | Test Acc: 59.70%
Epoch [20/50] | Train Loss: 0.4349 | Train Acc: 84.67% | Test Acc: 59.78%
Epoch [21/50] | Train Loss: 0.3752 | Train Acc: 86.73% | Test Acc: 59.48%
Epoch [22/50] | Train Loss: 0.3381 | Train Acc: 88.16% | Test Acc: 58.33%
Epoch [23/50] | Train Loss: 0.2924 | Train Acc: 89.77% | Test Acc: 59.72%
Epoch [24/50] | Train Loss: 0.2643 | Train Acc: 90.83% | Test Acc: 59.62%
Epoch [25/50] | Train Loss: 0.2236 | Train Acc: 92.12% | Test Acc: 58.38%
Epoch [26/50] | Train Loss: 0.2008 | Train Acc: 93.04% | Test Acc: 58.99%
Epoch [27/50] | Train Loss: 0.1660 | Train Acc: 94.22% | Test Acc: 58.86%
Epoch [28/50] | Train Loss: 0.1570 | Train Acc: 94.55% | Test Acc: 58.24%
Epoch [29/50] | Train Loss: 0.1304 | Train Acc: 95.45% | Test Acc: 59.45%
Epoch [30/50] | Train Loss: 0.1323 | Train Acc: 95.35% | Test Acc: 59.13%
Epoch [31/50] | Train Loss: 0.1223 | Train Acc: 95.75% | Test Acc: 59.07%
Epoch [32/50] | Train Loss: 0.1174 | Train Acc: 95.85% | Test Acc: 58.94%
Epoch [33/50] | Train Loss: 0.1052 | Train Acc: 96.28% | Test Acc: 59.81%
Epoch [34/50] | Train Loss: 0.0819 | Train Acc: 97.18% | Test Acc: 59.77%
Epoch [35/50] | Train Loss: 0.0571 | Train Acc: 98.10% | Test Acc: 60.13%
Epoch [36/50] | Train Loss: 0.0767 | Train Acc: 97.35% | Test Acc: 59.00%
Epoch [37/50] | Train Loss: 0.0944 | Train Acc: 96.66% | Test Acc: 60.10%
Epoch [38/50] | Train Loss: 0.0962 | Train Acc: 96.67% | Test Acc: 60.44%
Epoch [39/50] | Train Loss: 0.0637 | Train Acc: 97.85% | Test Acc: 60.22%
Epoch [40/50] | Train Loss: 0.0630 | Train Acc: 97.80% | Test Acc: 59.64%
Epoch [41/50] | Train Loss: 0.0612 | Train Acc: 97.86% | Test Acc: 60.02%
Epoch [42/50] | Train Loss: 0.0554 | Train Acc: 98.15% | Test Acc: 59.71%
Epoch [43/50] | Train Loss: 0.0606 | Train Acc: 97.92% | Test Acc: 59.99%
Epoch [44/50] | Train Loss: 0.0619 | Train Acc: 97.84% | Test Acc: 59.26%
Epoch [45/50] | Train Loss: 0.0611 | Train Acc: 97.89% | Test Acc: 60.70%
Epoch [46/50] | Train Loss: 0.0436 | Train Acc: 98.57% | Test Acc: 60.47%
Epoch [47/50] | Train Loss: 0.0429 | Train Acc: 98.55% | Test Acc: 59.95%
Epoch [48/50] | Train Loss: 0.0599 | Train Acc: 97.97% | Test Acc: 59.38%
Epoch [49/50] | Train Loss: 0.0537 | Train Acc: 98.16% | Test Acc: 60.69%
Epoch [50/50] | Train Loss: 0.0422 | Train Acc: 98.64% | Test Acc: 59.94%
